Name,Category,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Neighbourhood,Hours,Source,Accessible,X,Y
22nd Street Skytrain Station,Transit,2120 SEVENTH AVE,attendant,attendant,attendant,attendant,attendant,attendant,attendant,Connaught Heights,Only if attendant is present,,Yes,-122.949015,49.20004027
Anvil Centre,Civic Facilities,777 COLUMBIA ST,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 8:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,Downtown,"All days (except Thursday) (8:00 am - 5:00 pm), Thursdays (8:00 am - 8:00 pm)",http://anvilcentre.com/,Yes,-122.9114011,49.20165388
Braid Skytrain Station,Transit,97 BRAID ST,attendant,attendant,attendant,attendant,attendant,attendant,attendant,Brunette Creek,Only if attendant is present,,Yes,-122.8828773,49.23312458
Canada Games Pool,Civic Facilities,65 E SIXTH AVE,6:00 am - 9:55 pm,6:00 am - 9:55 pm,6:00 am - 9:55 pm,6:00 am - 9:55 pm,6:00 am - 10:25 pm,8:00 am - 8:25pm,8:00 am - 9:55 pm,Glenbrooke South,"Monday- Thursday (6:00 am - 9:55 pm), Friday (6:00 am - 10:25 pm), Saturday (8:00 am - 8:25pm), Sunday (8:00 am - 9:55 pm)",https://www.newwestcity.ca/parks-and-recreation/facilities/canada-games-pool#about ,Yes,-122.9077392,49.22169123
Centennial Community Centre,Civic Facilities,65 E SIXTH AVE,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 8:00 pm,9:00 am - 8:00 pm,8:00 am - 1:00 pm,8:30 am - 12:00 pm,Glenbrooke South,"Monday - Thursday (9:00 am - 8:30 pm), Friday (9:00 am - 8:00 pm), Saturday (8:00 am - 1:00 pm), Sunday (8:30 am - 12:00 pm)",https://www.newwestcity.ca/parks-and-recreation/facilities/centennial-community-centre#about ,Yes,-122.9067342,49.22140799
Century House,Civic Facilities,620 EIGHTH ST,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 9:00 pm,9:00 am - 4:00 pm,12:00 pm - 4:00 pm,Kelvin,"Monday - Friday (9:00 am - 9:00 pm), Saturday (9:00 am - 4:00 pm), Sunday (12:00 pm - 4:00 pm). ",https://www.newwestcity.ca/parks-and-recreation/facilities/century-house#about ,Yes,-122.9259662,49.21194185
City Hall,Civic Facilities,511 ROYAL AVE,8:00 am - 7:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,closed,closed,Uptown,"Monday (8:00 am - 7:00 pm), Tuesday-Friday (8:00 am - 5:00 pm)",https://www.newwestcity.ca/,Yes,-122.9110009,49.20681004
Columbia Skytrain Station (Shops @ New West),Transit,425 COLUMBIA ST,attendant,attendant,attendant,attendant,attendant,attendant,attendant,Downtown,Only if attendant is present,,Yes,-122.9062054,49.20478682
Douglas College,Other,700 ROYAL AVE,6:30 am - 11:00 pm,6:30 am - 11:00 pm,6:30 am - 11:00 pm,6:30 am - 11:00 pm,6:30 am - 11:00 pm,6:30 am - 7:00 pm,8:00 am - 6:00 pm,Downtown,"Monday - Friday (6:30 am - 11:00 pm), Saturday (6:30 am - 7:00 pm), Sunday (8:00 am - 6:00 pm*variable)",https://www.douglascollege.ca/,Yes,-122.9127478,49.20350201
Grimston Park,Parks,1900 SEVENTH AVE ,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,West End,8:30 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.9442081,49.20181987
Hume Park (Lower),Parks,660 E COLUMBIA ST,8:00 am - 5:00 pm ,8:00 am - 5:00 pm ,8:00 am - 5:00 pm ,8:00 am - 5:00 pm ,8:00 am - 5:00 pm ,8:00 am - 5:00 pm ,8:00 am - 5:00 pm ,Sapperton,8:00 am - 5:00 pm ,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.8913124,49.23545229
Hume Park (Upper),Parks,660 E COLUMBIA ST,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,8:30 am - 6:00 pm,Sapperton,8:30 am - 6:00 pm,https://www.newwestcity.ca/parks-and-recreation/parks/amenities#washrooms,Yes,-122.8917483,49.23319363
